shot.end_location.y,shot.end_location.z,shot.outcome.name,Cluster
36.2,0.3,Goal,1
43.8,1.4,Goal,3
42.0,0.2,Goal,0
38.3,1.3,Saved,2
36.4,0.5,Goal,1
43.0,0.4,Goal,0
43.4,2.4,Goal,3
41.5,0.3,Goal,0
42.4,0.2,Goal,0
37.0,0.0,Goal,1
41.5,1.8,Goal,3
36.6,2.0,Goal,2
37.8,1.6,Goal,2
42.4,0.9,Saved,0
42.6,2.5,Goal,3
37.6,0.3,Saved,1
37.4,2.3,Goal,2
40.7,2.4,Goal,3
42.2,0.4,Goal,0
36.2,2.4,Goal,2
43.8,1.3,Goal,3
38.3,0.2,Goal,1
43.0,0.2,Saved,0
36.6,0.6,Saved,1
38.7,0.5,Saved,1
42.8,2.5,Goal,3
37.0,0.2,Goal,1
37.0,0.2,Goal,1
40.3,0.2,Goal,0
36.2,0.8,Saved,1
36.6,0.4,Saved,1
41.5,0.2,Saved,0
37.2,0.3,Goal,1
43.0,1.7,Goal,3
42.0,1.6,Goal,3
37.4,1.2,Goal,2
36.2,1.1,Goal,2
43.4,1.6,Goal,3
37.8,0.6,Saved,1
38.5,0.2,Goal,1
37.8,1.6,Goal,2
40.5,1.3,Goal,3
39.1,0.9,Saved,1
40.3,1.6,Goal,3
39.7,1.5,Goal,2
36.2,0.5,Goal,1
37.0,2.0,Goal,2
36.2,0.5,Goal,1
42.0,0.2,Goal,0
43.8,0.5,Saved,0
37.0,1.9,Goal,2
38.9,1.3,Saved,2
36.4,0.4,Goal,1
38.1,1.1,Saved,2
43.6,1.7,Goal,3
43.2,0.4,Goal,0
43.8,0.1,Saved,0
37.6,0.2,Goal,1
37.0,0.7,Goal,1
36.6,1.6,Goal,2
36.2,0.4,Goal,1
36.6,0.4,Goal,1
37.6,0.1,Goal,1
42.6,0.2,Saved,0
42.7,0.9,Goal,0
37.1,0.2,Goal,1
42.3,0.7,Saved,0
37.6,0.7,Saved,1
36.4,0.3,Goal,1
42.6,1.2,Goal,3
40.3,1.6,Goal,3
38.4,0.9,Goal,1
37.5,1.6,Goal,2
36.8,0.2,Goal,1
38.0,1.1,Saved,2
37.2,0.2,Saved,1
37.4,1.9,Goal,2
36.7,2.2,Goal,2
43.1,1.7,Goal,3
42.8,0.9,Goal,0
36.4,0.2,Goal,1
36.6,0.9,Goal,1
37.1,0.5,Goal,1
43.2,2.1,Goal,3
43.5,0.5,Goal,0
37.6,1.6,Saved,2
41.8,0.5,Goal,0
36.6,1.7,Goal,2
36.6,2.4,Goal,2
37.3,0.6,Saved,1
42.4,0.8,Saved,0
37.4,0.4,Saved,1
43.5,2.3,Goal,3
43.3,0.4,Goal,0
37.4,0.0,Saved,1
36.9,0.6,Goal,1
42.8,1.7,Goal,3
42.9,0.8,Goal,0
36.8,0.2,Goal,1
43.2,2.2,Goal,3
42.3,0.2,Saved,0
43.2,0.2,Goal,0
42.7,0.3,Saved,0
37.2,0.4,Goal,1
36.6,0.9,Goal,1
42.1,0.5,Saved,0
43.2,2.4,Goal,3
37.6,1.6,Goal,2
40.1,0.3,Goal,0
42.5,0.8,Saved,0
42.0,0.9,Saved,0
42.8,1.4,Saved,3
42.9,0.4,Saved,0
43.4,0.2,Goal,0
38.0,0.2,Saved,1
38.2,0.6,Goal,1
42.3,0.3,Goal,0
43.4,1.5,Goal,3
39.1,0.9,Goal,1
43.4,0.2,Goal,0
