"","shot.end_location.y","shot.end_location.z","shot.outcome.name"
"1",36.2,0.3,"Goal"
"2",43.8,1.4,"Goal"
"3",42,0.2,"Goal"
"4",38.3,1.3,"Saved"
"5",36.4,0.5,"Goal"
"6",43,0.4,"Goal"
"7",43.4,2.4,"Goal"
"8",41.5,0.3,"Goal"
"9",42.4,0.2,"Goal"
"10",37,0,"Goal"
"11",41.5,1.8,"Goal"
"12",36.6,2,"Goal"
"13",37.8,1.6,"Goal"
"14",42.4,0.9,"Saved"
"15",42.6,2.5,"Goal"
"16",37.6,0.3,"Saved"
"17",37.4,2.3,"Goal"
"18",40.7,2.4,"Goal"
"19",42.2,0.4,"Goal"
"20",36.2,2.4,"Goal"
"21",43.8,1.3,"Goal"
"22",38.3,0.2,"Goal"
"23",43,0.2,"Saved"
"24",36.6,0.6,"Saved"
"25",38.7,0.5,"Saved"
"26",42.8,2.5,"Goal"
"27",37,0.2,"Goal"
"28",37,0.2,"Goal"
"29",40.3,0.2,"Goal"
"30",36.2,0.8,"Saved"
"31",36.6,0.4,"Saved"
"32",41.5,0.2,"Saved"
"33",37.2,0.3,"Goal"
"34",43,1.7,"Goal"
"35",42,1.6,"Goal"
"36",37.4,1.2,"Goal"
"37",36.2,1.1,"Goal"
"38",43.4,1.6,"Goal"
"39",37.8,0.6,"Saved"
"40",38.5,0.2,"Goal"
"41",37.8,1.6,"Goal"
"42",40.5,1.3,"Goal"
"43",39.1,0.9,"Saved"
"44",40.3,1.6,"Goal"
"45",39.7,1.5,"Goal"
"46",36.2,0.5,"Goal"
"47",37,2,"Goal"
"48",36.2,0.5,"Goal"
"49",42,0.2,"Goal"
"50",43.8,0.5,"Saved"
"51",37,1.9,"Goal"
"52",38.9,1.3,"Saved"
"53",36.4,0.4,"Goal"
"54",38.1,1.1,"Saved"
"55",43.6,1.7,"Goal"
"56",43.2,0.4,"Goal"
"57",43.8,0.1,"Saved"
"58",37.6,0.2,"Goal"
"59",37,0.7,"Goal"
"60",36.6,1.6,"Goal"
"61",36.2,0.4,"Goal"
"62",36.6,0.4,"Goal"
"63",37.6,0.1,"Goal"
"64",42.6,0.2,"Saved"
"65",42.7,0.9,"Goal"
"66",37.1,0.2,"Goal"
"67",42.3,0.7,"Saved"
"68",37.6,0.7,"Saved"
"69",36.4,0.3,"Goal"
"70",42.6,1.2,"Goal"
"71",40.3,1.6,"Goal"
"72",38.4,0.9,"Goal"
"73",37.5,1.6,"Goal"
"74",36.8,0.2,"Goal"
"75",38,1.1,"Saved"
"76",37.2,0.2,"Saved"
"77",37.4,1.9,"Goal"
"78",36.7,2.2,"Goal"
"79",43.1,1.7,"Goal"
"80",42.8,0.9,"Goal"
"81",36.4,0.2,"Goal"
"82",36.6,0.9,"Goal"
"83",37.1,0.5,"Goal"
"84",43.2,2.1,"Goal"
"85",43.5,0.5,"Goal"
"86",37.6,1.6,"Saved"
"87",41.8,0.5,"Goal"
"88",36.6,1.7,"Goal"
"89",36.6,2.4,"Goal"
"90",37.3,0.6,"Saved"
"91",42.4,0.8,"Saved"
"92",37.4,0.4,"Saved"
"93",43.5,2.3,"Goal"
"94",43.3,0.4,"Goal"
"95",37.4,0,"Saved"
"96",36.9,0.6,"Goal"
"97",42.8,1.7,"Goal"
"98",42.9,0.8,"Goal"
"99",36.8,0.2,"Goal"
"100",43.2,2.2,"Goal"
"101",42.3,0.2,"Saved"
"102",43.2,0.2,"Goal"
"103",42.7,0.3,"Saved"
"104",37.2,0.4,"Goal"
"105",36.6,0.9,"Goal"
"106",42.1,0.5,"Saved"
"107",43.2,2.4,"Goal"
"108",37.6,1.6,"Goal"
"109",40.1,0.3,"Goal"
"110",42.5,0.8,"Saved"
"111",42,0.9,"Saved"
"112",42.8,1.4,"Saved"
"113",42.9,0.4,"Saved"
"114",43.4,0.2,"Goal"
"115",38,0.2,"Saved"
"116",38.2,0.6,"Goal"
"117",42.3,0.3,"Goal"
"118",43.4,1.5,"Goal"
"119",39.1,0.9,"Goal"
"120",43.4,0.2,"Goal"
"121",37.3,0.5,"Goal"
"122",42.3,0.2,"Saved"
"123",38.3,0,"Saved"
"124",37.8,1.6,"Goal"
"125",38.7,0.2,"Goal"
"126",37.4,0.2,"Goal"
"127",41.9,0.2,"Saved"
"128",36.8,1.3,"Goal"
"129",37.5,0.2,"Saved"
"130",39.9,1.7,"Goal"
"131",41.9,0.9,"Goal"
"132",37.5,0.2,"Saved"
"133",36.5,0.3,"Goal"
"134",43,0.3,"Goal"
"135",40,1.3,"Goal"
"136",42.7,0.7,"Saved"
"137",37.2,0.1,"Saved"
"138",37.3,0.5,"Saved"
"139",40.1,0.2,"Goal"
"140",42.3,0.2,"Goal"
"141",43.3,1.4,"Goal"
"142",37.2,1.2,"Saved"
"143",38.7,0.2,"Goal"
"144",42.9,0.9,"Saved"
"145",36.6,1.5,"Goal"
"146",43.7,1.1,"Goal"
"147",42.8,1.4,"Goal"
"148",36.7,0.2,"Goal"
"149",37.7,0.2,"Goal"
"150",36.4,1.6,"Goal"
"151",36.4,1.7,"Goal"
"152",39.4,1.9,"Goal"
"153",41.9,1,"Saved"
"154",40.1,0.8,"Goal"
"155",36.5,0.7,"Goal"
"156",36.9,0.2,"Goal"
"157",38.5,0.2,"Goal"
"158",36.5,0.2,"Goal"
"159",42.3,2.3,"Goal"
"160",41.8,0.2,"Goal"
"161",37.3,0.3,"Goal"
"162",36.7,1.1,"Goal"
"163",37.6,1.3,"Goal"
"164",38.3,0.2,"Goal"
"165",38.2,0.9,"Saved"
"166",40.4,0.2,"Goal"
"167",37.6,0.2,"Goal"
"168",39.3,1.6,"Goal"
"169",37.9,0.2,"Goal"
"170",38.2,0.4,"Goal"
"171",36.6,1.4,"Goal"
"172",40.1,1.6,"Goal"
"173",41,0.7,"Goal"
"174",43,0.2,"Goal"
"175",43.8,0.2,"Goal"
"176",37.1,1.5,"Goal"
"177",42.6,0.2,"Goal"
"178",43.3,2,"Goal"
"179",36.5,1.4,"Goal"
"180",43.7,1,"Goal"
"181",36.5,2.1,"Goal"
"182",40.8,0.1,"Goal"
"183",42.3,0.3,"Goal"
"184",43.7,0.2,"Goal"
"185",43.5,1.7,"Goal"
"186",42,0.3,"Goal"
"187",38.3,0.4,"Goal"
"188",42.9,1.4,"Goal"
"189",42.7,1.9,"Goal"
"190",41.4,0.2,"Goal"
"191",37,1.5,"Goal"
"192",37,0.9,"Goal"
"193",42.8,1.9,"Goal"
"194",40.3,1,"Goal"
"195",41.6,1.1,"Goal"
"196",42.8,1.4,"Goal"
"197",37.4,0.2,"Goal"
"198",37.9,1.7,"Goal"
"199",43.2,0.3,"Goal"
"200",37.2,1.6,"Goal"
"201",36.6,0.2,"Goal"
"202",38,1.9,"Goal"
"203",41,1.5,"Goal"
"204",42.7,2.3,"Goal"
"205",36.7,1.4,"Goal"
"206",42.7,2,"Goal"
"207",36.9,0.9,"Goal"
"208",36.9,0.7,"Saved"
"209",37.7,2,"Goal"
"210",37,1.2,"Saved"
"211",37.1,0.9,"Saved"
"212",42.6,0,"Saved"
"213",43.2,1.3,"Goal"
"214",38.5,1.3,"Goal"
"215",42.8,1.2,"Saved"
"216",43,0.2,"Saved"
"217",40.7,0.2,"Goal"
"218",36.8,0.8,"Goal"
"219",39.8,0.7,"Goal"
"220",38.1,1.1,"Saved"
